Rank,Year,Movie,Distributor,Domestic Box Office,International Box Office,Worldwide Box Office
879,1998,Everest,MacGilliv…,"$87,178,599","$40,811,529","$127,990,128"
880,2015,Sisters,Universal,"$87,044,645","$18,986,015","$106,030,660"
881,2005,Saw II,Lionsgate,"$87,025,093","$65,900,000","$152,925,093"
882,1991,The Naked Gun 2½: The Smell of Fear,Paramount…,"$86,930,411",,"$86,930,411"
883,2012,The Campaign,Warner Bros.,"$86,907,746","$18,000,000","$104,907,746"
884,1976,To Fly!,IMAX Films,"$86,600,000","$34,100,000","$120,700,000"
885,1979,The Amityville Horror,American …,"$86,432,520",,"$86,432,520"
886,1990,Presumed Innocent,Warner Bros.,"$86,303,188","$134,996,812","$221,300,000"
887,1974,Young Frankenstein,20th Cent…,"$86,300,000",,"$86,300,000"
888,2016,The Accountant,Warner Bros.,"$86,260,045","$66,702,038","$152,962,083"
889,2014,Dumb and Dumber To,Universal,"$86,208,010","$70,345,582","$156,553,592"
890,2017,The Emoji Movie,Sony Pict…,"$86,089,513","$130,475,327","$216,564,840"
891,2004,Mean Girls,Paramount…,"$86,047,227","$44,905,799","$130,953,026"
892,2014,Annie,Sony Pict…,"$85,911,262","$53,918,363","$139,829,625"
893,2015,Alvin and the Chipmunks: The Road Chip,20th Cent…,"$85,886,987","$163,630,969","$249,517,956"
894,2002,Spy Kids 2: The Island of Lost Dreams,Miramax/D…,"$85,846,296","$33,875,000","$119,721,296"
895,2014,Fury,Sony Pict…,"$85,817,906","$124,497,775","$210,315,681"
896,1999,Pokemon: The First Movie,Warner Bros.,"$85,744,662","$77,900,000","$163,644,662"
897,2019,Alita: Battle Angel,20th Cent…,"$85,710,210","$317,261,058","$402,971,268"
898,2011,Real Steel,Walt Disney,"$85,463,309","$178,417,032","$263,880,341"
899,2004,SpongeBob SquarePants: The Movie,Paramount…,"$85,416,609","$56,634,646","$142,051,255"
900,1956,The Ten Commandments,,"$85,400,591","$33,925","$85,434,516"
901,2017,Power Rangers,Lionsgate,"$85,364,450","$57,167,102","$142,531,552"
902,2003,Brother Bear,Walt Disney,"$85,336,277","$165,061,521","$250,397,798"
903,1981,Stripes,Columbia,"$85,300,000",,"$85,300,000"
904,1979,Rocky 2,United Ar…,"$85,182,160","$115,000,000","$200,182,160"
905,1986,Aliens,20th Cent…,"$85,160,248","$98,156,207","$183,316,455"
906,2006,Open Season,Sony Pict…,"$85,105,259","$106,826,899","$191,932,158"
907,2018,Green Book,Universal,"$85,080,171","$238,050,518","$323,130,689"
908,2012,The Expendables 2,Lionsgate,"$85,028,192","$226,951,064","$311,979,256"
909,1950,Cinderella,Walt Disney,"$85,000,000","$178,591,415","$263,591,415"
910,1995,Dangerous Minds,Walt Disney,"$84,919,401","$94,000,000","$178,919,401"
911,2010,Paranormal Activity 2,Paramount…,"$84,752,907","$92,759,125","$177,512,032"
912,2014,Tammy,Warner Bros.,"$84,525,432","$11,882,223","$96,407,655"
913,2006,The Santa Clause 3: The Escape Clause,Walt Disney,"$84,500,122","$23,000,000","$107,500,122"
914,2017,Ferdinand,20th Cent…,"$84,410,380","$205,428,533","$289,838,913"
915,2011,"Crazy, Stupid, Love",Warner Bros.,"$84,351,197","$62,791,131","$147,142,328"
916,1940,Pinocchio,Walt Disney,"$84,300,000",,"$84,300,000"
917,2014,Annabelle,Warner Bros.,"$84,273,813","$172,589,107","$256,862,920"
918,2004,Scooby-Doo 2: Monsters Unleashed,Warner Bros.,"$84,185,387","$97,000,000","$181,185,387"
919,2004,Anchorman: The Legend of Ron Burgundy,Dreamwork…,"$84,136,909","$5,339,356","$89,476,265"
920,2001,Atlantis: The Lost Empire,Walt Disney,"$84,052,762","$101,996,258","$186,049,020"
921,1993,Cliffhanger,Sony Pict…,"$84,049,211","$170,950,789","$255,000,000"
922,2014,The Other Woman,20th Cent…,"$83,911,193","$111,200,000","$195,111,193"
923,1998,The X Files: Fight the Future,20th Cent…,"$83,898,313","$105,278,110","$189,176,423"
924,2009,Up in the Air,Paramount…,"$83,823,381","$83,019,358","$166,842,739"
925,1989,Steel Magnolias,Sony Pict…,"$83,759,091","$11,392,847","$95,151,938"
926,1977,The Goodbye Girl,MGM,"$83,700,000",,"$83,700,000"
927,1989,The War of the Roses,20th Cent…,"$83,699,711",,"$83,699,711"
928,2012,Wrath of the Titans,Warner Bros.,"$83,670,083","$221,600,000","$305,270,083"
929,2013,Insidious Chapter 2,FilmDistrict,"$83,586,447","$78,335,068","$161,921,515"
930,1992,Under Siege,Warner Bros.,"$83,563,139","$73,000,000","$156,563,139"
931,2011,Battle: Los Angeles,Sony Pict…,"$83,552,429","$129,911,547","$213,463,976"
932,2011,Immortals,Relativity,"$83,504,017","$128,058,418","$211,562,435"
933,2018,I Can Only Imagine,Roadside …,"$83,482,352","$2,238,687","$85,721,039"
934,1979,Apocalypse Now,United Ar…,"$83,471,511","$2,444,335","$85,915,846"
935,1980,Airplane!,Paramount…,"$83,453,539",,"$83,453,539"
936,2014,Penguins of Madagascar,20th Cent…,"$83,350,911","$283,591,620","$366,942,531"
937,1940,Fantasia,Walt Disney,"$83,320,000",,"$83,320,000"
938,2013,Saving Mr. Banks,Walt Disney,"$83,299,761","$31,662,764","$114,962,525"
939,1992,Patriot Games,Paramount…,"$83,287,363","$94,812,637","$178,100,000"
940,2018,Smallfoot,Warner Bros.,"$83,240,103","$130,441,970","$213,682,073"
941,2019,Good Boys,Universal,"$83,140,306","$27,843,213","$110,983,519"
942,2008,Valkyrie,United Ar…,"$83,107,829","$120,824,345","$203,932,174"
943,2005,Brokeback Mountain,Focus Fea…,"$83,043,761","$93,937,102","$176,980,863"
944,2013,Turbo,20th Cent…,"$83,028,130","$203,868,448","$286,896,578"
945,1994,Disclosure,Warner Bros.,"$83,015,089","$129,184,911","$212,200,000"
946,2006,Charlotte's Web,Paramount…,"$82,985,708","$61,000,000","$143,985,708"
947,2005,Monster-in-Law,New Line,"$82,931,301","$73,000,000","$155,931,301"
948,2005,Are We There Yet?,Sony Pict…,"$82,674,398","$15,440,073","$98,114,471"
949,1990,Days of Thunder,Paramount…,"$82,670,733","$75,000,000","$157,670,733"
950,2011,The Descendants,Fox Searc…,"$82,624,961","$92,882,839","$175,507,800"
951,2003,Freddy vs. Jason,New Line,"$82,622,655","$31,953,748","$114,576,403"
952,1995,Mr. Holland’s Opus,Walt Disney,"$82,582,604","$23,700,000","$106,282,604"
953,2005,Cheaper by the Dozen 2,20th Cent…,"$82,571,173","$52,444,157","$135,015,330"
954,1992,Bram Stoker's Dracula,Sony Pict…,"$82,522,790","$133,339,902","$215,862,692"
955,2014,Let’s Be Cops,20th Cent…,"$82,390,774","$54,500,000","$136,890,774"
956,2007,Beowulf,Paramount…,"$82,280,579","$112,800,000","$195,080,579"
957,1979,Star Trek: The Motion Picture,Paramount…,"$82,258,456","$56,741,544","$139,000,000"
958,2007,Bridge to Terabithia,Walt Disney,"$82,234,139","$55,750,649","$137,984,788"
959,2006,The Pink Panther,Sony Pict…,"$82,226,474","$76,700,000","$158,926,474"
960,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount…,"$82,051,601","$163,276,773","$245,328,374"
961,2017,The Post,20th Cent…,"$81,903,458","$97,865,999","$179,769,457"
962,2015,Maze Runner: The Scorch Trials,20th Cent…,"$81,697,192","$228,868,970","$310,566,162"
963,2002,Blade 2,New Line,"$81,676,888","$72,661,713","$154,338,601"
964,2006,Eight Below,Walt Disney,"$81,612,565","$38,843,429","$120,455,994"
965,1970,M*A*S*H,,"$81,600,000",,"$81,600,000"
966,2010,Unstoppable,20th Cent…,"$81,562,942","$84,157,979","$165,720,921"
967,1999,Payback,Paramount…,"$81,526,121","$80,100,000","$161,626,121"
968,2015,Ted 2,Universal,"$81,476,385","$135,737,758","$217,214,143"
969,1981,Arthur,Warner Bros.,"$81,464,486",,"$81,464,486"
970,1988,Die Hard,20th Cent…,"$81,350,242","$57,759,104","$139,109,346"
971,1999,The Talented Mr. Ripley,Paramount…,"$81,292,135","$47,500,000","$128,792,135"
972,2003,School of Rock,Paramount…,"$81,261,177","$50,683,495","$131,944,672"
973,1991,Fried Green Tomatoes,Universal,"$81,204,830",,"$81,204,830"
974,1984,Police Academy,Warner Bros.,"$81,198,894",,"$81,198,894"
975,2008,21,Sony Pict…,"$81,159,365","$78,687,064","$159,846,429"
976,2002,Snow Dogs,Walt Disney,"$81,150,692","$35,747,336","$116,898,028"
977,1995,While You Were Sleeping,Walt Disney,"$81,057,016","$101,000,000","$182,057,016"
978,1995,Congo,Paramount…,"$81,022,333","$71,000,000","$152,022,333"
979,2004,The Notebook,New Line,"$81,001,787","$35,023,236","$116,025,023"
980,2001,Jimmy Neutron: Boy Genius,Paramount…,"$80,936,232","$22,056,304","$102,992,536"
981,1979,Alien,20th Cent…,"$80,930,630","$122,698,317","$203,628,947"
982,2007,Disturbia,Paramount…,"$80,818,974","$37,718,653","$118,537,627"
983,1987,Moonstruck,MGM,"$80,640,528",,"$80,640,528"
984,2010,Eat Pray Love,Sony Pict…,"$80,574,010","$126,024,779","$206,598,789"
985,2003,The Texas Chainsaw Massacre,New Line,"$80,571,655","$27,395,664","$107,967,319"
986,1971,Fiddler on the Roof,United Ar…,"$80,500,000",,"$80,500,000"
987,2011,Zookeeper,Sony Pict…,"$80,360,866","$90,444,659","$170,805,525"
988,2004,AVP: Alien Vs. Predator,20th Cent…,"$80,281,096","$92,262,423","$172,543,519"
989,2008,What Happens in Vegas...,20th Cent…,"$80,277,646","$138,258,062","$218,535,708"
990,2005,The Dukes of Hazzard,Warner Bros.,"$80,270,227","$29,578,234","$109,848,461"
991,1998,The Wedding Singer,New Line,"$80,245,725","$43,100,000","$123,345,725"
992,2006,Saw III,Lionsgate,"$80,238,724","$83,638,091","$163,876,815"
993,2006,Nacho Libre,Paramount…,"$80,197,993","$19,098,469","$99,296,462"
994,2008,Jumper,20th Cent…,"$80,172,128","$142,468,684","$222,640,812"
995,2017,The Mummy,Universal,"$80,101,125","$329,852,780","$409,953,905"
996,2012,Jack Reacher,Paramount…,"$80,070,736","$137,300,000","$217,370,736"
997,2015,Goosebumps,Sony Pict…,"$80,069,458","$78,835,866","$158,905,324"
998,2008,Cloverfield,Paramount…,"$80,048,433","$91,253,793","$171,302,226"
999,1990,Another 48 Hrs.,Paramount…,"$80,047,413","$72,700,000","$152,747,413"
"1,000",2010,Dear John,Sony Pict…,"$80,014,842","$62,018,667","$142,033,509"
"1,001",2019,Men in Black: International,Sony Pict…,"$80,001,807","$172,992,753","$252,994,560"
"1,002",1984,Footloose,Paramount…,"$80,000,000",,"$80,000,000"
"1,003",2009,Knowing,Summit En…,"$79,957,634","$106,492,683","$186,450,317"
"1,004",2011,War Horse,Walt Disney,"$79,883,359","$76,932,170","$156,815,529"
"1,005",1986,The Golden Child,Paramount…,"$79,817,937",,"$79,817,937"
"1,006",2012,Dark Shadows,Warner Bros.,"$79,727,149","$158,475,519","$238,202,668"
"1,007",1974,Earthquake,,"$79,700,000",,"$79,700,000"
"1,008",2009,Hannah Montana the Movie,Walt Disney,"$79,576,189","$89,597,017","$169,173,206"
"1,009",2008,The Day the Earth Stood Still,20th Cent…,"$79,366,978","$158,003,372","$237,370,350"
"1,010",2011,Limitless,Relativity,"$79,249,455","$76,315,464","$155,564,919"
"1,011",1985,Out of Africa,Universal,"$79,096,868","$179,113,992","$258,210,860"
"1,012",1991,Cape Fear,Universal,"$79,091,969","$103,200,000","$182,291,969"
"1,013",2016,The Purge: Election Year,Universal,"$79,042,440","$39,472,287","$118,514,727"
"1,014",1982,Star Trek II: The Wrath of Khan,Paramount…,"$78,912,963","$16,887,037","$95,800,000"
"1,015",2015,Pixels,Sony Pict…,"$78,765,986","$165,275,818","$244,041,804"
"1,016",1998,City of Angels,Warner Bros.,"$78,750,909","$120,000,000","$198,750,909"
"1,017",1996,The English Patient,Miramax,"$78,716,374","$152,993,634","$231,710,008"
"1,018",1991,Teenage Mutant Ninja Turtles II: The Secret of …,New Line,"$78,656,813",,"$78,656,813"
"1,019",2001,Artificial Intelligence: AI,Warner Bros.,"$78,616,689","$157,283,311","$235,900,000"
"1,020",1988,Cocktail,Walt Disney,"$78,222,753",,"$78,222,753"
"1,021",2002,We Were Soldiers,Paramount…,"$78,120,196","$36,538,066","$114,658,262"
"1,022",2011,Tower Heist,Universal,"$78,046,570","$72,376,376","$150,422,946"
"1,023",1988,The Naked Gun: From the Files of Police Squad!,Paramount…,"$78,041,829",,"$78,041,829"
"1,024",2014,The Monuments Men,Sony Pict…,"$78,031,620","$80,671,128","$158,702,748"
"1,025",2004,Man on Fire,20th Cent…,"$77,906,816","$53,061,763","$130,968,579"
"1,026",1991,Backdraft,Universal,"$77,868,585","$74,500,000","$152,368,585"
"1,027",2002,Gangs of New York,Miramax,"$77,730,500","$105,394,121","$183,124,621"
"1,028",1993,Free Willy,Warner Bros.,"$77,698,625","$76,000,000","$153,698,625"
"1,029",2011,The Adventures of Tintin,Paramount…,"$77,591,831","$296,402,120","$373,993,951"
"1,030",2005,La marche de l'empereur,Warner In…,"$77,437,223","$55,839,136","$133,276,359"
"1,031",2018,Night School,Universal,"$77,339,130","$25,774,316","$103,113,446"
"1,032",1993,Philadelphia,Sony/TriStar,"$77,324,422","$124,000,000","$201,324,422"
"1,033",2012,Parental Guidance,20th Cent…,"$77,267,296","$43,565,087","$120,832,383"
"1,034",2009,Where the Wild Things Are,Warner Bros.,"$77,233,467","$21,890,189","$99,123,656"
"1,035",2010,The A-Team,20th Cent…,"$77,222,099","$100,019,072","$177,241,171"
"1,036",2000,U-571,Universal,"$77,086,030","$50,544,000","$127,630,030"
"1,037",2004,The Terminal,Dreamwork…,"$77,073,959","$141,600,000","$218,673,959"
"1,038",2016,Alice Through the Looking Glass,Walt Disney,"$77,042,381","$199,885,731","$276,928,112"
"1,039",2008,27 Dresses,20th Cent…,"$76,808,654","$83,439,151","$160,247,805"
"1,040",1979,The Muppet Movie,Associate…,"$76,657,000",,"$76,657,000"
"1,041",1995,Father of the Bride Part II,Walt Disney,"$76,578,911",,"$76,578,911"
"1,042",2000,Rugrats in Paris,Paramount…,"$76,501,438","$26,783,375","$103,284,813"
"1,043",1984,Star Trek III: The Search for Spock,Paramount…,"$76,471,046","$10,528,954","$87,000,000"
"1,044",2010,Knight and Day,20th Cent…,"$76,423,035","$182,328,335","$258,751,370"
"1,045",1987,The Untouchables,Paramount…,"$76,270,454",,"$76,270,454"
"1,046",2001,Training Day,Warner Bros.,"$76,261,036","$28,244,326","$104,505,362"
"1,047",1985,Cocoon,20th Cent…,"$76,257,348",,"$76,257,348"
"1,048",1992,White Men Can't Jump,20th Cent…,"$76,253,806","$14,500,000","$90,753,806"
"1,049",2016,Pete’s Dragon,Walt Disney,"$76,233,151","$61,535,824","$137,768,975"
"1,050",2015,Paddington,Weinstein…,"$76,223,578","$182,565,519","$258,789,097"
"1,051",1997,Conspiracy Theory,Warner Bros.,"$76,118,990","$66,664,728","$142,783,718"
"1,052",2008,Hellboy II: The Golden Army,Universal,"$75,986,503","$84,401,560","$160,388,063"
"1,053",2005,Constantine,Warner Bros.,"$75,976,178","$145,618,733","$221,594,911"
"1,054",2005,The Ring Two,Dreamwork…,"$75,941,727","$86,000,000","$161,941,727"
"1,055",1982,48 Hrs.,Paramount…,"$75,936,265",,"$75,936,265"
"1,056",2003,The Haunted Mansion,Walt Disney,"$75,817,994","$79,932,634","$155,750,628"
"1,057",2006,"You, Me and Dupree",Universal,"$75,802,010","$54,600,000","$130,402,010"
"1,058",2002,Barbershop,MGM,"$75,781,642","$1,281,819","$77,063,461"
"1,059",2015,The Intern,Warner Bros.,"$75,764,672","$121,351,038","$197,115,710"
"1,060",2000,The Family Man,Universal,"$75,764,085","$48,951,778","$124,715,863"
"1,061",1994,Star Trek: Generations,Paramount…,"$75,671,262","$44,328,738","$120,000,000"
"1,062",2011,Contagion,Warner Bros.,"$75,658,097","$61,893,497","$137,551,594"
"1,063",2011,We Bought a Zoo,20th Cent…,"$75,624,550","$43,104,523","$118,729,073"
"1,064",2013,2 Guns,Universal,"$75,612,460","$56,880,555","$132,493,015"
"1,065",2011,Moneyball,Sony Pict…,"$75,605,492","$35,695,343","$111,300,835"
"1,066",2002,The Rookie,Walt Disney,"$75,600,072","$4,891,444","$80,491,516"
"1,067",2009,Zombieland,Sony Pict…,"$75,590,286","$26,646,310","$102,236,596"
"1,068",1995,Braveheart,Paramount…,"$75,545,647","$133,499,597","$209,045,244"
"1,069",1999,Any Given Sunday,Warner Bros.,"$75,530,832","$24,700,000","$100,230,832"
"1,070",1992,The Last of the Mohicans,20th Cent…,"$75,505,856",,"$75,505,856"
"1,071",2017,The Hitman’s Bodyguard,Lionsgate,"$75,468,583","$97,310,084","$172,778,667"
"1,072",2016,The Girl on the Train,Universal,"$75,395,035","$98,883,179","$174,278,214"
"1,073",1998,The Horse Whisperer,Walt Disney,"$75,383,563","$111,500,000","$186,883,563"
"1,074",2004,Garfield: The Movie,20th Cent…,"$75,367,693","$132,726,857","$208,094,550"
"1,075",2004,Ray,Universal,"$75,305,995","$49,517,099","$124,823,094"
"1,076",2009,Coraline,Focus Fea…,"$75,286,229","$50,750,828","$126,037,057"
"1,077",2003,Old School,Dreamwork…,"$75,155,000","$11,610,463","$86,765,463"
"1,078",1984,Romancing the Stone,20th Cent…,"$75,078,260","$40,000,000","$115,078,260"
"1,079",2005,The Exorcism of Emily Rose,Sony Pict…,"$75,072,454","$69,456,624","$144,529,078"
"1,080",1993,The Nightmare Before Christmas,Walt Disney,"$75,069,160","$202,058","$75,271,218"
"1,081",2006,Eragon,20th Cent…,"$75,030,163","$174,457,952","$249,488,115"
"1,082",1991,Star Trek VI: The Undiscovered Country,Paramount…,"$74,888,996","$22,011,004","$96,900,000"
"1,083",1991,The Prince of Tides,Sony Pict…,"$74,787,599",,"$74,787,599"
"1,084",1982,Poltergeist,MGM,"$74,706,019","$47,000,000","$121,706,019"
"1,085",2004,Ladder 49,Walt Disney,"$74,541,707","$27,791,141","$102,332,848"
"1,086",2005,Four Brothers,Paramount…,"$74,494,381","$18,000,000","$92,494,381"
"1,087",1983,WarGames,MGM,"$74,433,837",,"$74,433,837"
"1,088",1998,"Six Days, Seven Nights",Walt Disney,"$74,339,294","$90,460,706","$164,800,000"
"1,089",2007,No Country for Old Men,Miramax,"$74,273,505","$89,762,248","$164,035,753"
"1,090",2017,Alien: Covenant,20th Cent…,"$74,262,031","$164,259,216","$238,521,247"
"1,091",2011,Jack and Jill,Sony Pict…,"$74,158,157","$76,361,060","$150,519,217"
"1,092",2019,Annabelle Comes Home,Warner Bros.,"$74,152,591","$154,387,337","$228,539,928"
"1,093",2005,Sin City,Miramax/D…,"$74,103,820","$84,424,098","$158,527,918"
"1,094",2001,Along Came a Spider,Paramount…,"$74,058,698","$31,100,387","$105,159,085"
"1,095",2017,Captain Underpants: The First Epic Movie,20th Cent…,"$73,921,000","$52,656,874","$126,577,874"
"1,096",2011,Hugo,Paramount…,"$73,864,507","$106,183,277","$180,047,784"
"1,097",1988,Beetlejuice,Warner Bros.,"$73,839,613","$47,933","$73,887,546"
"1,098",2004,Christmas with the Kranks,Sony Pict…,"$73,701,902","$22,767,285","$96,469,187"
"1,099",1979,The Jerk,Universal,"$73,691,419",,"$73,691,419"
"1,100",2006,Monster House,Sony Pict…,"$73,661,010","$67,606,360","$141,267,370"
"1,101",1999,Deep Blue Sea,Warner Bros.,"$73,648,228","$91,400,000","$165,048,228"
"1,102",2009,Law Abiding Citizen,Overture …,"$73,357,727","$57,802,054","$131,159,781"
"1,103",2019,Yesterday,Universal,"$73,286,650","$79,807,861","$153,094,511"
"1,104",2019,Tyler Perry’s A Madea Family Funeral,Lionsgate,"$73,257,045","$1,524,954","$74,781,999"
"1,105",2002,Spirit: Stallion of the Cimarron,Dreamwork…,"$73,215,310","$33,300,000","$106,515,310"
"1,106",2000,Hollow Man,Sony Pict…,"$73,209,340","$117,990,660","$191,200,000"
"1,107",2016,Tyler Perry’s Boo! A Madea Halloween,Lionsgate,"$73,206,343",,"$73,206,343"
"1,108",2009,Hotel for Dogs,Paramount…,"$73,178,547","$49,178,625","$122,357,172"
"1,109",2019,Zombieland: Double Tap,Sony Pict…,"$73,118,130","$48,671,424","$121,789,554"
"1,110",2013,White House Down,Sony Pict…,"$73,103,784","$132,336,603","$205,440,387"
"1,111",2012,John Carter,Walt Disney,"$73,058,679","$209,719,421","$282,778,100"
"1,112",2010,Dinner for Schmucks,Paramount…,"$73,026,337","$13,770,165","$86,796,502"
"1,113",2011,Justin Bieber: Never Say Never,Paramount…,"$73,013,910","$26,020,215","$99,034,125"
"1,114",1959,Ben-Hur,MGM,"$73,000,000","$259,017","$73,259,017"
"1,115",2006,Barnyard: The Original Party Animals,Paramount…,"$72,779,000","$45,804,844","$118,583,844"
"1,116",2006,Jackass: Number Two,Paramount…,"$72,778,712","$12,500,000","$85,278,712"
"1,117",2005,The Interpreter,Universal,"$72,708,161","$90,045,676","$162,753,837"
"1,118",2014,Hercules,Paramount…,"$72,688,614","$170,700,000","$243,388,614"
"1,119",2016,Storks,Warner Bros.,"$72,679,278","$110,674,153","$183,353,431"
"1,120",2015,Bridge of Spies,Walt Disney,"$72,313,754","$90,184,584","$162,498,338"
"1,121",2011,Dolphin Tale,Warner Bros.,"$72,286,779","$23,781,945","$96,068,724"
"1,122",2008,Vantage Point,Sony Pict…,"$72,266,306","$78,620,023","$150,886,329"
"1,123",1997,I Know What You Did Last Summer,Sony Pict…,"$72,250,091","$53,000,000","$125,250,091"
"1,124",1994,Ace Ventura: Pet Detective,Warner Bros.,"$72,217,396","$35,000,000","$107,217,396"
"1,125",2017,A Bad Moms Christmas,STX Enter…,"$72,110,659","$55,599,891","$127,710,550"
"1,126",2009,Michael Jackson's This Is It,Sony Pict…,"$72,091,016","$180,000,000","$252,091,016"
"1,127",2016,10 Cloverfield Lane,Paramount…,"$72,082,999","$36,203,423","$108,286,422"
"1,128",1995,Get Shorty,MGM,"$72,021,008","$43,000,000","$115,021,008"
"1,129",2009,"I Love You, Man",Paramount…,"$72,013,010","$20,289,492","$92,302,502"
"1,130",2007,Fred Claus,Warner Bros.,"$72,006,777","$25,830,861","$97,837,638"
"1,131",1964,My Fair Lady,,"$72,000,000","$71,636","$72,071,636"
"1,132",2007,1408,MGM,"$71,985,628","$59,277,742","$131,263,370"
"1,133",2006,R.V.,Sony Pict…,"$71,724,497","$15,748,527","$87,473,024"
"1,134",2013,Mama,Universal,"$71,628,180","$76,467,386","$148,095,566"
"1,135",1986,Ruthless People,Walt Disney,"$71,624,879",,"$71,624,879"
"1,136",1990,3 Men and a Little Lady,Walt Disney,"$71,609,321",,"$71,609,321"
"1,137",1994,Stargate,MGM,"$71,565,669","$125,000,000","$196,565,669"
"1,138",2014,The Purge: Anarchy,Universal,"$71,562,550","$39,972,331","$111,534,881"
"1,139",1995,Grumpier Old Men,Warner Bros.,"$71,518,503",,"$71,518,503"
"1,140",1995,The Bridges of Madison County,Warner Bros.,"$71,516,617","$104,000,000","$175,516,617"
"1,141",2004,Sideways,Fox Searc…,"$71,502,303","$38,290,889","$109,793,192"
"1,142",2001,Bridget Jones's Diary,Miramax,"$71,500,556","$210,026,602","$281,527,158"
"1,143",1999,Galaxy Quest,Dreamwork…,"$71,423,726","$19,100,000","$90,523,726"
"1,144",2013,Safe Haven,Relativity,"$71,399,120","$22,651,831","$94,050,951"
"1,145",1989,National Lampoon's Christmas Vacation,Warner Bros.,"$71,319,546",,"$71,319,546"
"1,146",2000,Chocolat,Miramax,"$71,309,760","$81,190,583","$152,500,343"
"1,147",2001,Scary Movie 2,Miramax/D…,"$71,277,420","$69,911,681","$141,189,101"
"1,148",2008,The Spiderwick Chronicles,Paramount…,"$71,195,053","$91,644,614","$162,839,667"
"1,149",2015,Paul Blart: Mall Cop 2,Sony Pict…,"$71,091,594","$36,559,052","$107,650,646"
"1,150",1989,Turner & Hooch,Walt Disney,"$71,079,915",,"$71,079,915"
"1,151",2001,The Score,Paramount…,"$71,069,884","$42,472,207","$113,542,091"
"1,152",2002,John Q,New Line,"$71,026,631","$31,200,000","$102,226,631"
"1,153",2013,The Smurfs 2,Sony Pict…,"$71,017,784","$277,529,739","$348,547,523"
"1,154",1990,Bird on a Wire,Universal,"$70,978,012","$67,719,000","$138,697,012"
"1,155",1993,Groundhog Day,Sony Pict…,"$70,906,973",,"$70,906,973"
"1,156",2001,Shallow Hal,20th Cent…,"$70,836,296",,"$70,836,296"
"1,157",1980,Any Which Way You Can,Warner Bros.,"$70,687,344",,"$70,687,344"
"1,158",2011,No Strings Attached,Paramount…,"$70,662,220","$78,565,858","$149,228,078"
"1,159",1996,Broken Arrow,20th Cent…,"$70,645,997","$77,700,000","$148,345,997"
"1,160",2013,The Best Man Holiday,Universal,"$70,525,195","$2,310,515","$72,835,710"
"1,161",2006,V for Vendetta,Warner Bros.,"$70,511,035","$59,703,127","$130,214,162"
"1,162",1995,Mortal Kombat,New Line,"$70,433,227","$51,700,000","$122,133,227"
"1,163",1991,JFK,Warner Bros.,"$70,405,498","$134,994,502","$205,400,000"
"1,164",2000,Shaft,Paramount…,"$70,327,868","$36,862,240","$107,190,108"
"1,165",1979,Moonraker,United Ar…,"$70,300,000","$140,000,000","$210,300,000"
"1,166",2006,World Trade Center,Paramount…,"$70,278,893","$93,016,761","$163,295,654"
"1,167",2006,Rocky Balboa,MGM,"$70,269,899","$85,959,151","$156,229,050"
"1,168",2015,The Big Short,Paramount…,"$70,259,870","$62,902,882","$133,162,752"
"1,169",2008,Fool's Gold,Warner Bros.,"$70,231,041","$39,131,925","$109,362,966"
"1,170",1998,Star Trek: Insurrection,Paramount…,"$70,187,658","$47,612,342","$117,800,000"
"1,171",1993,Grumpy Old Men,Warner Bros.,"$70,172,621",,"$70,172,621"
"1,172",2006,Big Momma's House 2,20th Cent…,"$70,165,972","$66,881,404","$137,047,376"
"1,173",1998,Blade,New Line,"$70,141,876","$61,095,812","$131,237,688"
"1,174",1986,Ferris Bueller's Day Off,Paramount…,"$70,136,369","$1,469","$70,137,838"
"1,175",2007,The Golden Compass,New Line,"$70,107,728","$297,154,830","$367,262,558"
"1,176",2003,Kill Bill: Volume 1,Miramax,"$70,098,138","$106,371,290","$176,469,428"
"1,177",1992,Boomerang,Paramount…,"$70,052,444","$61,000,000","$131,052,444"
"1,178",2012,Act of Valor,Relativity,"$70,012,847","$12,484,188","$82,497,035"
"1,179",1989,Born on the Fourth of July,Universal,"$70,001,698",,"$70,001,698"
"1,180",2008,Seven Pounds,Sony Pict…,"$69,951,824","$96,665,504","$166,617,328"
"1,181",1980,Private Benjamin,Warner Bros.,"$69,847,348",,"$69,847,348"
"1,182",2001,Swordfish,Warner Bros.,"$69,772,969","$77,307,444","$147,080,413"
"1,183",1982,The Best Little Whorehouse in Texas,Universal,"$69,701,637",,"$69,701,637"
"1,184",2000,The Kid,Walt Disney,"$69,688,384",,"$69,688,384"
"1,185",1995,Nine Months,20th Cent…,"$69,660,733","$68,825,698","$138,486,431"
"1,186",1999,Fantasia 2000 (Theatrical Release),Walt Disney,"$69,610,858","$7,776","$69,618,634"
"1,187",2002,The Divine Secrets of the Ya-Ya Sisterhood,Warner Bros.,"$69,586,544","$4,240,224","$73,826,768"
"1,188",2018,The First Purge,Universal,"$69,488,745","$67,565,852","$137,054,597"
"1,189",1999,The Thomas Crown Affair,MGM,"$69,304,264","$55,000,000","$124,304,264"
"1,190",2018,Game Night,Warner Bros.,"$69,179,066","$48,199,018","$117,378,084"
"1,191",2004,White Chicks,Sony Pict…,"$69,148,997","$42,300,000","$111,448,997"
"1,192",1998,Lost In Space,New Line,"$69,117,629","$66,929,688","$136,047,317"
