Rank,Year,Movie,Distributor,Domestic Box Office,International Box Office,Worldwide Box Office
"4,402",2004,New York Minute,Warner Bros.,"$14,018,364","$7,197,518","$21,215,882"
"4,403",2002,The Good Girl,Fox Searc…,"$14,018,296","$2,567,207","$16,585,503"
"4,404",2018,RBG,Magnolia …,"$14,017,361","$365,673","$14,383,034"
"4,405",2016,Love & Friendship,Roadside …,"$14,016,568","$6,880,369","$20,896,937"
"4,406",2011,What's Your Number?,20th Cent…,"$14,011,084","$16,152,701","$30,163,785"
"4,407",1999,Virus,Universal,"$14,010,690","$16,616,000","$30,626,690"
"4,408",1997,Def Jam's How To Be a Player,Gramercy,"$14,010,363",,"$14,010,363"
"4,409",1978,The Greek Tycoon,Universal,"$14,000,000",,"$14,000,000"
"4,410",1978,The Bad News Bears Go To Japan,Paramount…,"$14,000,000",,"$14,000,000"
"4,411",1968,The Thomas Crown Affair,MGM,"$14,000,000",,"$14,000,000"
"4,412",1951,David and Bathsheba,,"$14,000,000",,"$14,000,000"
"4,413",1983,The Survivors,Sony Pict…,"$14,000,000",,"$14,000,000"
"4,414",1987,Creepshow 2,New World,"$14,000,000",,"$14,000,000"
"4,415",1966,Un homme et une femme,Allied Ar…,"$14,000,000",,"$14,000,000"
"4,416",1976,The Missouri Breaks,United Ar…,"$14,000,000",,"$14,000,000"
"4,417",1981,The Night the Lights Went Out in Georgia,Avco Embassy,"$14,000,000",,"$14,000,000"
"4,418",1987,Flowers in the Attic,New World,"$14,000,000",,"$14,000,000"
"4,419",1959,Imitation of Life,,"$14,000,000",,"$14,000,000"
"4,420",1988,Stand and Deliver,,"$13,994,920",,"$13,994,920"
"4,421",2017,It Comes at Night,A24,"$13,985,117","$5,735,086","$19,720,203"
"4,422",1969,The Sterile Cuckoo,,"$13,982,357",,"$13,982,357"
"4,423",2002,Stealing Harvard,Sony Pict…,"$13,973,532",,"$13,973,532"
"4,424",1985,Sesame Street Presents Follow That Bird,Warner Bros.,"$13,961,370",,"$13,961,370"
"4,425",2016,Jackie,Fox Searc…,"$13,960,394","$22,628,118","$36,588,512"
"4,426",1991,The Commitments,20th Cent…,"$13,955,001",,"$13,955,001"
"4,427",2010,Repo Men,Universal,"$13,942,007","$4,253,231","$18,195,238"
"4,428",2007,Hot Rod,Paramount…,"$13,938,332","$396,069","$14,334,401"
"4,429",2007,Firehouse Dog,20th Cent…,"$13,932,383","$3,165,914","$17,098,297"
"4,430",2004,Soul Plane,MGM,"$13,922,211","$631,596","$14,553,807"
"4,431",1995,Candyman: Farewell to Flesh,Gramercy,"$13,916,665",,"$13,916,665"
"4,432",2001,Out Cold,Walt Disney,"$13,906,394","$880,000","$14,786,394"
"4,433",1998,Les Miserables,Sony Pict…,"$13,887,945",,"$13,887,945"
"4,434",2002,Monsoon Wedding,USA Films,"$13,876,974","$13,148,626","$27,025,600"
"4,435",2017,Born in China,Walt Disney,"$13,873,211","$11,164,532","$25,037,743"
"4,436",1988,My Stepmother Is an Alien,Sony Pict…,"$13,854,000",,"$13,854,000"
"4,437",2008,The Duchess,Paramount…,"$13,848,978","$31,311,132","$45,160,110"
"4,438",2011,One Day,Focus Fea…,"$13,843,771","$45,324,921","$59,168,692"
"4,439",1987,Hamburger Hill,Paramount…,"$13,839,404",,"$13,839,404"
"4,440",1988,The Milagro Beanfield War,Universal,"$13,825,794",,"$13,825,794"
"4,441",1990,Lord of the Flies,Sony Pict…,"$13,812,230",,"$13,812,230"
"4,442",1997,The Man Who Knew Too Little,Warner Bros.,"$13,801,755",,"$13,801,755"
"4,443",1945,Leave Her to Heaven,,"$13,800,000",,"$13,800,000"
"4,444",1977,"New York, New York",United Ar…,"$13,800,000",,"$13,800,000"
"4,445",1990,The Long Walk Home,Miramax,"$13,798,030",,"$13,798,030"
"4,446",1982,The Thing,Universal,"$13,782,838",,"$13,782,838"
"4,447",2014,Sin City: A Dame to Kill For,Weinstein…,"$13,757,804","$26,893,038","$40,650,842"
"4,448",2006,Letters from Iwo Jima,Warner Bros.,"$13,756,082","$54,111,916","$67,867,998"
"4,449",2012,Hit & Run,Open Road,"$13,749,300","$3,467,655","$17,216,955"
"4,450",1981,Blow Out,Filmways …,"$13,747,234",,"$13,747,234"
"4,451",1992,Trespass,Universal,"$13,747,138",,"$13,747,138"
"4,452",1991,Drop Dead Fred,New Line,"$13,746,300",,"$13,746,300"
"4,453",2005,Broken Flowers,Focus Fea…,"$13,744,960","$27,000,000","$40,744,960"
"4,454",1995,Highlander: The Final Dimension,Miramax,"$13,738,574",,"$13,738,574"
"4,455",1993,Body of Evidence,MGM,"$13,734,039",,"$13,734,039"
"4,456",1997,The Wings of the Dove,Miramax,"$13,718,385",,"$13,718,385"
"4,457",1989,Great Balls of Fire!,Orion Pic…,"$13,691,550",,"$13,691,550"
"4,458",1965,The Sandpiper,MGM,"$13,691,111",,"$13,691,111"
"4,459",1988,Return to Snowy River,Walt Disney,"$13,687,027",,"$13,687,027"
"4,460",2002,Hey Arnold! The Movie,Paramount…,"$13,684,949",,"$13,684,949"
"4,461",2009,Crank 2: High Voltage,Lionsgate,"$13,684,249","$21,788,490","$35,472,739"
"4,462",1962,Mutiny on The Bounty,MGM,"$13,680,000",,"$13,680,000"
"4,463",1998,Desperate Measures,Sony Pict…,"$13,678,274",,"$13,678,274"
"4,464",1995,Nixon,Walt Disney,"$13,668,249","$21,000,000","$34,668,249"
"4,465",1988,Vice Versa,Sony Pict…,"$13,664,060",,"$13,664,060"
"4,466",2011,Warrior,Lionsgate,"$13,657,115","$10,558,270","$24,215,385"
"4,467",2015,Burnt,Weinstein…,"$13,651,946","$23,114,347","$36,766,293"
"4,468",2001,Haunted Castle,nWave Pic…,"$13,651,656","$19,211,870","$32,863,526"
"4,469",2002,Y Tu Mamá También,IFC Films,"$13,649,881","$20,000,000","$33,649,881"
"4,470",2019,Poms,STX Enter…,"$13,631,124","$2,829,212","$16,460,336"
"4,471",2007,The Namesake,Fox Searc…,"$13,610,521","$6,678,253","$20,288,774"
"4,472",1993,The Crush,Warner Bros.,"$13,609,396",,"$13,609,396"
"4,473",1997,Trial And Error,New Line,"$13,602,831",,"$13,602,831"
"4,474",2001,Osmosis Jones,Warner Bros.,"$13,596,911",,"$13,596,911"
"4,475",2000,The Ladies Man,Paramount…,"$13,592,872","$126,602","$13,719,474"
"4,476",1998,Hush,Sony Pict…,"$13,587,246",,"$13,587,246"
"4,477",2002,Juwanna Mann,Warner Bros.,"$13,571,817","$200,000","$13,771,817"
"4,478",2001,Tomcats,Sony Pict…,"$13,558,739",,"$13,558,739"
"4,479",2000,The Little Vampire,New Line,"$13,555,988",,"$13,555,988"
"4,480",2004,Envy,Dreamwork…,"$13,548,322","$1,017,924","$14,566,246"
"4,481",2004,Shaun of the Dead,Focus/Rog…,"$13,542,874","$16,789,511","$30,332,385"
"4,482",2018,Eighth Grade,A24,"$13,539,710","$808,310","$14,348,020"
"4,483",1999,The Deep End of the Ocean,Sony Pict…,"$13,508,635",,"$13,508,635"
"4,484",1942,Mrs. Miniver,,"$13,500,000",,"$13,500,000"
"4,485",1969,The Stewardesses,,"$13,500,000","$11,500,000","$25,000,000"
"4,486",2001,The Tailor of Panama,Sony Pict…,"$13,491,653","$14,000,000","$27,491,653"
"4,487",1998,Africa's Elephant Kingdom,Discovery…,"$13,485,455",,"$13,485,455"
"4,488",1963,Charade,Universal,"$13,474,588",,"$13,474,588"
"4,489",2008,The Haunting of Molly Hartley,Freestyle…,"$13,442,412","$1,875,845","$15,318,257"
"4,490",1986,One Crazy Summer,Warner Bros.,"$13,431,806",,"$13,431,806"
"4,491",1986,Extremities,Atlantic,"$13,418,091",,"$13,418,091"
"4,492",1996,Secrets & Lies,October F…,"$13,417,292",,"$13,417,292"
"4,493",2012,Dredd,Lionsgate,"$13,414,714","$28,052,892","$41,467,606"
"4,494",1995,A Kid in King Arthur's Court,Walt Disney,"$13,406,717","$340,562","$13,747,279"
"4,495",2017,Megan Leavey,Bleecker …,"$13,406,304","$1,058,534","$14,464,838"
"4,496",1981,The Legend of the Lone Ranger,Universal,"$13,400,000",,"$13,400,000"
"4,497",2006,One Night with the King,Rocky Mou…,"$13,395,961","$329,071","$13,725,032"
"4,498",2004,Alfie,Paramount…,"$13,395,939","$21,800,000","$35,195,939"
"4,499",1994,Bullets Over Broadway,Miramax,"$13,383,747",,"$13,383,747"
"4,500",1985,Clue,Paramount…,"$13,377,261",,"$13,377,261"
"4,501",2014,Labor Day,Paramount…,"$13,371,528","$818,282","$14,189,810"
"4,502",2006,Friends with Money,Sony Pict…,"$13,368,437","$4,741,715","$18,110,152"
"4,503",2008,Ghost Town,Paramount…,"$13,367,624","$16,590,604","$29,958,228"
"4,504",1992,Mr. Saturday Night,Sony Pict…,"$13,351,357",,"$13,351,357"
"4,505",2007,The Comebacks,20th Cent…,"$13,349,927","$189,227","$13,539,154"
"4,506",2004,De-Lovely,MGM,"$13,337,299","$5,187,197","$18,524,496"
"4,507",1965,The Sons of Katie Elder,,"$13,333,333",,"$13,333,333"
"4,508",2011,The Tree of Life,Fox Searc…,"$13,305,665","$48,416,161","$61,721,826"
"4,509",1989,Koneko monogatari,Sony Pict…,"$13,299,749","$49,358","$13,349,107"
"4,510",1996,Bio-Dome,MGM,"$13,294,762",,"$13,294,762"
